name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
dmf_0,0.0054727,2.60861e-18,0.0054727,0.0054727,0.0054727,0.0054727,0.0054727,1.73908e-18,0.0054727,0.0054727,0.0054727,0.0054727,4.88439e-09
dmf_6,0,0,0,0,0,0,0.00187532,0.00202589,6.1529e-08,0.0046156,-0.000150573,0.00390121,6.1529e-08
dmf_7,0,0,0,0,0,0,0.00175166,0.00199313,8.2357e-09,0.0044789,-0.000241465,0.00374479,8.2357e-09
dmf_8,0,0,0,0,0,0,0.00165128,0.00195274,1.1024e-09,0.0043463,-0.000301462,0.00360403,1.1024e-09
nh3_1,0.000117647,1.35865e-19,0.000117647,0.000117647,0.000117647,0.000117647,2.53489e-07,7.56206e-07,9.9385e-15,5.3226e-06,-5.02716e-07,1.00969e-06,0.000112324
nh3_2,0.000588235,4.34769e-19,0.000588235,0.000588235,0.000588235,0.000588235,8.11666e-06,1.90978e-05,1.5412e-13,0.00011552,-1.09812e-05,2.72145e-05,0.000472715
nh3_3,0.00176471,8.69538e-19,0.00176471,0.00176471,0.00176471,0.00176471,3.21672e-05,6.8032e-05,6.2707e-13,0.00038381,-3.58648e-05,0.000100199,0.0013809
nh3_4,0.00294118,8.69538e-19,0.00294118,0.00294118,0.00294118,0.00294118,7.22981e-05,0.000142605,1.6214e-12,0.00076378,-7.03067e-05,0.000214903,0.0021774
nh3_5,0.00352941,1.73908e-18,0.00352941,0.00352941,0.00352941,0.00352941,0.000125466,0.000234445,3.3308e-12,0.0011999,-0.000108979,0.000359911,0.00232951
nh3_6,0.00411765,8.69538e-19,0.00411765,0.00411765,0.00411765,0.00411765,0.000188218,0.000336126,5.9558e-12,0.0016497,-0.000147908,0.000524344,0.00246795
nh3_7,0.00382353,1.73908e-18,0.00382353,0.00382353,0.00382353,0.00382353,0.000257488,0.000442045,9.7113e-12,0.0020856,-0.000184556,0.000699533,0.00173793
nh3_8,0.00352941,1.73908e-18,0.00352941,0.00352941,0.00352941,0.00352941,0.000330793,0.000548279,1.4837e-11,0.0024917,-0.000217486,0.000879072,0.00103771
