name,value,group,weight
dmf_0,0.0054727,gdmf,1
dmf_1,0.00478862,gdmf,1
dmf_2,0.00287317,gdmf,1
dmf_3,0.00109454,gdmf,1
dmf_4,0.00054727,gdmf,1
dmf_5,6.84088e-05,gdmf,1
dmf_6,0,gdmf,1
dmf_7,0,gdmf,1
dmf_8,0,gdmf,1
dma_0,0,gdma,1
dma_1,0.000665484,gdma,1
dma_2,0.00177462,gdma,1
dma_3,0.00310559,gdma,1
dma_4,0.00332742,gdma,1
dma_5,0.00166371,gdma,1
dma_6,0.000665484,gdma,1
dma_7,0.000621118,gdma,1
dma_8,0.000598935,gdma,1
nh3_0,0,gnh3,1
nh3_1,0.000117647,gnh3,1
nh3_2,0.000588235,gnh3,1
nh3_3,0.00176471,gnh3,1
nh3_4,0.00294118,gnh3,1
nh3_5,0.00352941,gnh3,1
nh3_6,0.00411765,gnh3,1
nh3_7,0.00382353,gnh3,1
nh3_8,0.00352941,gnh3,1
