iteration,total_runs,obs_realization,par_realization,gdmf,gdma,gnh3
0,200,0,0,3.4875e-06,5.67736e-06,6.86019e-05
0,200,1,1,0.000122694,2.09814e-05,6.72396e-05
0,200,2,2,1.97124e-06,4.34009e-06,4.9514e-05
0,200,3,3,0.000122694,2.2281e-05,6.74438e-05
0,200,4,4,2.09409e-06,4.73322e-05,6.80907e-05
0,200,5,5,0.000122694,2.27003e-05,6.63906e-05
0,200,6,6,5.68975e-06,1.07399e-05,4.12439e-05
0,200,7,7,0.000122694,2.10025e-05,6.65086e-05
0,200,8,8,1.29181e-05,1.3096e-05,6.86093e-05
0,200,9,9,1.62683e-06,4.82549e-05,6.86112e-05
0,200,10,10,5.75834e-06,8.28312e-06,6.85749e-05
0,200,11,11,1.83043e-05,8.34241e-06,5.40874e-05
0,200,12,12,3.95945e-06,6.19755e-06,5.08505e-05
0,200,13,13,7.90205e-06,6.62043e-06,6.64689e-05
0,200,14,14,0.000119631,2.12862e-05,6.40637e-05
0,200,15,15,3.02613e-05,1.20823e-05,4.53997e-05
0,200,16,16,1.25293e-05,9.06134e-06,3.49803e-05
0,200,17,17,0.000122693,2.20563e-05,6.86121e-05
0,200,18,18,7.60199e-05,1.48891e-05,6.86124e-05
0,200,19,19,0.000122693,2.19539e-05,6.86121e-05
0,200,20,20,2.47699e-05,8.28936e-06,5.34524e-05
0,200,21,21,1.52723e-05,1.98941e-05,6.8597e-05
0,200,22,22,0.000122694,2.24733e-05,6.56055e-05
0,200,23,23,1.35414e-05,1.0468e-05,6.86084e-05
0,200,24,24,3.70797e-05,1.09907e-05,6.21295e-05
0,200,25,25,7.01297e-06,6.988e-06,2.63151e-05
0,200,26,26,1.71095e-06,2.5731e-05,6.86078e-05
0,200,27,27,2.74402e-06,4.00685e-06,5.93766e-05
0,200,28,28,0.000122693,2.15273e-05,6.86122e-05
0,200,29,29,9.38924e-06,7.38743e-06,5.44853e-05
0,200,30,30,8.09575e-06,1.70523e-05,6.86095e-05
0,200,31,31,0.000122693,2.34544e-05,6.79851e-05
0,200,32,32,4.00313e-06,6.96908e-06,6.85954e-05
0,200,33,33,2.26281e-05,9.27213e-06,6.86088e-05
0,200,34,34,0.000122693,2.00352e-05,6.84877e-05
0,200,35,35,1.59908e-06,2.90107e-05,6.8609e-05
0,200,36,36,0.000122693,1.99772e-05,6.83242e-05
0,200,37,37,4.80137e-06,8.5507e-06,5.05956e-05
0,200,38,38,6.10306e-06,1.44518e-05,6.85998e-05
0,200,39,39,5.05621e-06,6.44156e-06,6.86035e-05
0,200,40,40,0.000122694,2.11534e-05,6.74521e-05
0,200,41,41,0.000122693,2.26539e-05,6.77373e-05
0,200,42,42,0.000122693,1.94208e-05,6.85792e-05
0,200,43,43,0.000122694,2.31408e-05,6.39768e-05
0,200,44,44,8.1001e-06,1.05993e-05,5.44374e-05
0,200,45,45,9.8375e-06,1.14454e-05,6.85688e-05
0,200,46,46,1.75004e-05,7.93431e-06,6.86024e-05
0,200,47,47,0.000122693,1.99613e-05,6.84016e-05
0,200,48,48,4.15046e-06,5.26687e-06,6.42388e-05
0,200,49,49,0.000122693,2.10518e-05,6.82036e-05
0,200,50,50,0.000122693,2.15268e-05,6.86122e-05
0,200,51,51,3.1599e-06,6.35872e-05,6.70169e-05
0,200,52,52,1.00787e-05,0.000104773,6.86032e-05
0,200,53,53,3.07479e-06,6.09585e-06,6.73852e-05
0,200,54,54,0.000122693,2.10567e-05,6.86122e-05
0,200,55,55,4.6061e-06,5.4405e-06,2.30284e-05
0,200,56,56,0.000122693,2.24696e-05,6.77532e-05
0,200,57,57,0.000122694,2.15692e-05,6.44978e-05
0,200,58,58,0.000122694,2.18228e-05,6.32715e-05
0,200,59,59,1.89085e-06,4.35354e-06,3.27509e-05
0,200,60,60,1.80799e-06,4.45648e-06,6.85869e-05
0,200,61,61,1.60382e-06,4.52978e-06,3.63103e-05
0,200,62,62,1.4758e-05,1.10148e-05,6.85857e-05
0,200,63,63,0.000122693,2.03803e-05,6.86123e-05
0,200,64,64,2.78723e-06,6.701e-06,5.16837e-05
0,200,65,65,1.59562e-06,6.25345e-06,5.25816e-05
0,200,66,66,9.0748e-06,7.25035e-06,6.85863e-05
0,200,67,67,0.000122694,2.18863e-05,6.72781e-05
0,200,68,68,3.30631e-05,1.33028e-05,6.75658e-05
0,200,69,69,0.000122693,2.20757e-05,6.86121e-05
0,200,70,70,3.15062e-06,4.83592e-06,5.38661e-05
0,200,71,71,6.43166e-06,2.71584e-05,5.57672e-05
0,200,72,72,0.000122693,2.08724e-05,6.78821e-05
0,200,73,73,0.000122693,2.32207e-05,6.79161e-05
