iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,base
0,200,0.00674868,0.0035933,0.000434239,0.0197493,0.000887373,0.00350691,0.000892908,0.00747505,0.00482352,0.00854256,0.00870518,0.00347864,0.00357742,0.0056768,0.0153769,0.00346592,0.00231709,0.00530101,0.00380255,0.00689441,0.00844229,0.00747542,0.00357061,0.00560451,0.00231129,0.0135772,0.00777151,0.00355787,0.00336654,0.0108104,0.00586636,0.00469129,0.00550885,0.00585167,0.00380635,0.00948622,0.00437506,0.00339723,0.00620761,0.00540216,0.00620854,0.00819888,0.00890516,0.00232983,0.00568698,0.00850089,0.00620725,0.00903073,0.00382135,0.0197493,0.00581741,0.00620814,0.0107462,0.00427391,0.00629754,0.00718588,0.0109659,0.00216418,0.0051821,0.0085023,0.00822032,0.00649698,0.00706164,0.00750245,0.00938284,0.000778339,0.00606583,0.00502176,0.0045496,0.00393154,0.00579116,0.00712033,0.00335644,0.00751505,0.000538681,0.00909682,0.00462688,0.00785907,0.00339398,0.0142946,0.000702634,0.00745833,0.00620676,0.0146971,0.000811859,0.00620676,0.0116778,0.00620748,0.00576372,0.0074504,0.00371153,0.00367111,0.00833139,0.00616731,0.0101706,0.00863998,0.0124139,0.00620676,0.00880625,0.00597818,0.00741831,0.00603015,0.0053817,0.00629018,0.0097254,0.000692356,0.0106467,0.0056431,0.00252111,0.0167642,0.00736755,0.00929807,0.00407468,0.0130016,0.00446954,0.00508499,0.00352681,0.00576801,0.00620676,0.00826793,0.00620985,0.0029023,0.0062142,0.00649771,0.00408353,0.00726085,0.00762518,0.0165716,0.00769158,0.00629749,0.00360053,0.00336904,0.00154121,0.000682849,0.00620876,0.00407808,0.00641451,0.00728434,0.000652443,0.00660717,0.00512588,0.00148358,0.00620676,0.00501425,0.00621132,0.0065761,0.00368744,0.00575828,0.00568102,0.0043819,0.0188559,0.00702257,0.0100755,0.00842222,0.00620676,0.0134239,0.00826466,0.00165358,0.00620676,0.0113654,0.00974938,0.0107786,0.00798291,0.00805694,0.0105604,0.00393334,0.00920321,0.00303383,0.00598009,0.00594144,0.0159473,0.0119216,0.00411651,0.00621141,0.00570046,0.00756819,0.00679764,0.00751504,0.00349837,0.0145804,0.00860777,0.0113459,0.00728738,0.00512934,0.00416869,0.0044621,0.00709164,0.00446755,0.0106966,0.0110995,0.00567911,0.00571186,0.00838906,0.0130908,0.00488735,0.00603011,0.0171416,0.00365521,0.0122993,0.00892582,0.0037077,0.0140606,0.00502226,0.000434239
1,440,0.00667198,0.0035618,0.000433863,0.0197303,0.000879647,0.00347672,0.00088891,0.00742496,0.00470709,0.00848994,0.00849387,0.00344899,0.00350966,0.00553359,0.0153552,0.0034091,0.0023009,0.00527212,0.00377683,0.00689144,0.00840664,0.00741638,0.00353464,0.00556894,0.00230083,0.0132663,0.00772241,0.00349077,0.00332269,0.0107868,0.0057186,0.00466553,0.0054549,0.00582212,0.00372665,0.00944294,0.00430479,0.00334193,0.0061508,0.0052673,0.0061518,0.00799548,0.00868207,0.00228811,0.00562277,0.00844894,0.00615041,0.00897948,0.00374509,0.0197303,0.00580824,0.00615137,0.0107176,0.00423201,0.00623203,0.00700521,0.0107025,0.00212434,0.00512613,0.00848176,0.00816558,0.00643019,0.00699542,0.0074892,0.0093614,0.000776833,0.00605171,0.00498031,0.00444491,0.0038462,0.00576064,0.00705805,0.00330906,0.00745626,0.000537522,0.00887435,0.00458747,0.00784065,0.00334329,0.0139723,0.00069838,0.0074264,0.00614986,0.0146539,0.000808497,0.00614986,0.0116446,0.00615065,0.00570449,0.00739109,0.0036367,0.00359895,0.00828998,0.0060184,0.0101501,0.00861938,0.0121218,0.00614986,0.00858882,0.00595846,0.00723169,0.00597578,0.0053367,0.00613339,0.00948471,0.000689632,0.0106227,0.00557875,0.00250796,0.0167276,0.00718082,0.00925312,0.00405136,0.0127069,0.00436474,0.00507544,0.00350656,0.00562681,0.00614986,0.00821319,0.00615323,0.00289578,0.00615796,0.00648964,0.00404434,0.00707674,0.00743507,0.0165465,0.00750373,0.00629227,0.00353144,0.0033259,0.00153229,0.00068097,0.00615205,0.00404371,0.00634939,0.00709892,0.00064997,0.00644721,0.00509573,0.00147581,0.00614986,0.00497271,0.00615482,0.00651053,0.00361823,0.00561353,0.00562048,0.0042862,0.0188175,0.00698648,0.0100587,0.00821,0.00614986,0.0131148,0.00820924,0.00164752,0.00614986,0.0110926,0.00971267,0.010521,0.00778124,0.00801528,0.0105539,0.00390029,0.00917563,0.003022,0.00596088,0.00588312,0.0156002,0.0119004,0.00402635,0.00615493,0.00567724,0.00737581,0.00678874,0.0074758,0.00343994,0.014556,0.00858607,0.0110768,0.00722536,0.00511975,0.00407435,0.00435747,0.00706028,0.00436226,0.0106827,0.0108344,0.00561848,0.00565032,0.0081775,0.0127902,0.00484855,0.0058776,0.0171046,0.00362055,0.0122614,0.00887824,0.00369444,0.0137412,0.00489995,0.000433863
2,500,0.00666465,0.00355734,0.00043351,0.0197303,0.000879647,0.00347672,0.00088891,0.00737605,0.00470709,0.00848994,0.00829364,0.00342017,0.00350966,0.0053973,0.0153552,0.0034091,0.00228505,0.00527212,0.00377683,0.00689144,0.00840664,0.00741638,0.00353464,0.00556894,0.00230083,0.0132663,0.00772241,0.00349077,0.00332269,0.0107868,0.0057186,0.00466553,0.0054549,0.00582212,0.00372665,0.00944294,0.00422956,0.00334193,0.00609446,0.0052673,0.0061518,0.00799548,0.00868207,0.00228811,0.00562277,0.00844894,0.00615041,0.00897948,0.00374509,0.0197303,0.00580824,0.00615137,0.0107176,0.00423201,0.00623203,0.00700521,0.0107025,0.00212434,0.0050714,0.00848176,0.00816558,0.00643019,0.00699542,0.0074892,0.0093614,0.000776833,0.00605171,0.00498031,0.00444491,0.0038462,0.00576064,0.00705805,0.00330906,0.00745626,0.000537522,0.00887435,0.00454838,0.00782307,0.00334329,0.0139723,0.00069838,0.0074264,0.00614986,0.0146106,0.000808497,0.00614986,0.0116446,0.00615065,0.00570449,0.00739109,0.0036367,0.00359895,0.00824886,0.0060184,0.01013,0.00861938,0.0121218,0.00614986,0.00858882,0.00595846,0.00723169,0.00592267,0.0053367,0.00613339,0.00948471,0.000689632,0.0106227,0.00557875,0.00250796,0.0166909,0.00718082,0.00925312,0.00405136,0.0124295,0.00436474,0.00507544,0.00350656,0.00562681,0.00614986,0.00821319,0.00615323,0.00289578,0.0061022,0.00648964,0.00404434,0.00707674,0.00743507,0.0165465,0.00750373,0.00629227,0.00353144,0.0033259,0.00152415,0.00068097,0.00615205,0.00404371,0.00634939,0.00709892,0.00064997,0.00644721,0.00509573,0.00147581,0.00614986,0.00497271,0.00615482,0.00651053,0.00361823,0.00561353,0.00562048,0.0042862,0.0188175,0.00698648,0.0100587,0.00821,0.00614986,0.0131148,0.00820924,0.00164752,0.00614986,0.0110926,0.00971267,0.010521,0.00778124,0.00801528,0.0105539,0.00390029,0.00917563,0.003022,0.00596088,0.00588312,0.0156002,0.0119004,0.00402635,0.00615493,0.00567724,0.00737581,0.00678874,0.0074758,0.00343994,0.014556,0.00858607,0.0108218,0.00722536,0.00511975,0.00407435,0.00435747,0.00706028,0.00436226,0.0106827,0.0108344,0.00561848,0.00565032,0.0081775,0.0127902,0.00484855,0.0058776,0.0171046,0.00362055,0.0122614,0.00887824,0.00369444,0.0137412,0.00489995,0.00043351
3,740,0.0065911,0.0035292,0.000433179,0.0197114,0.000870163,0.00344802,0.000884844,0.00732753,0.00459508,0.00843786,0.00810058,0.00339151,0.00344414,0.00526558,0.0153334,0.00335374,0.0022693,0.00524385,0.00375215,0.00688856,0.00837107,0.0073579,0.00349952,0.00553416,0.0022907,0.0129723,0.00767452,0.00342655,0.00328014,0.0107633,0.00557677,0.00463966,0.00540228,0.00579313,0.00365031,0.00940134,0.00416197,0.00328839,0.00603882,0.00513868,0.00609554,0.00780298,0.0084706,0.00224707,0.00555996,0.00839872,0.0060942,0.00892953,0.00367195,0.0197114,0.00579933,0.00609508,0.010689,0.00419031,0.00616793,0.00683297,0.0104519,0.00208921,0.00501812,0.00846447,0.00811287,0.00636408,0.00693142,0.00747286,0.00933994,0.000775248,0.00603763,0.00493922,0.00434465,0.00376283,0.00573036,0.00699628,0.00326316,0.00739812,0.000536345,0.00866384,0.00450956,0.00780575,0.00329471,0.0136673,0.000692746,0.00739196,0.00609362,0.0145675,0.000805234,0.00609362,0.0116065,0.00609447,0.00564513,0.00733252,0.0035644,0.00352914,0.00820784,0.00587537,0.0101097,0.00859864,0.0118468,0.00609362,0.00838178,0.00593912,0.00705505,0.0058701,0.00529204,0.00598321,0.00925718,0.00068695,0.010599,0.00551606,0.002495,0.0166545,0.00700284,0.00920985,0.00402862,0.0121635,0.00426532,0.00506625,0.00348645,0.00549225,0.00609362,0.0081599,0.00609709,0.00288932,0.00604695,0.00648176,0.00400964,0.00690056,0.00725407,0.0165211,0.00732565,0.00628706,0.00346458,0.00328371,0.00151562,0.000679043,0.00609581,0.00401017,0.00628579,0.00692326,0.000647544,0.00629496,0.00506593,0.00146823,0.00609362,0.00493205,0.00609881,0.00644738,0.00355064,0.00547488,0.00556024,0.0041937,0.018779,0.00695079,0.0100413,0.00800941,0.00609362,0.0128241,0.00815511,0.00164164,0.00609362,0.0108343,0.00967651,0.0102787,0.00758917,0.00797437,0.0105424,0.003868,0.00914817,0.00301023,0.00594176,0.00582616,0.0152739,0.011879,0.00394009,0.00609892,0.00565432,0.00719347,0.00678016,0.00743657,0.00338347,0.0145314,0.00856456,0.0105831,0.00716542,0.00511031,0.00398391,0.00425639,0.007029,0.00426217,0.0106684,0.0105829,0.00555873,0.00559111,0.00797706,0.0125068,0.00481023,0.00573241,0.0170678,0.003586,0.0122225,0.0088319,0.00368109,0.0134405,0.00478367,0.000433179
4,800,0.00658106,0.00352136,0.000432823,0.0196927,0.000870163,0.00344802,0.000884844,0.00732753,0.00459508,0.00843786,0.00810058,0.00336368,0.00344414,0.0051404,0.0153334,0.00335374,0.0022693,0.00524385,0.00375215,0.00688856,0.00837107,0.0073579,0.00349952,0.00553416,0.0022907,0.0126986,0.00767452,0.00342655,0.00328014,0.0107633,0.00557677,0.00463966,0.00540228,0.00579313,0.00365031,0.00936028,0.00409548,0.00328839,0.00603882,0.00501487,0.00609554,0.00780298,0.0084706,0.00224707,0.00555996,0.00839872,0.0060942,0.00888151,0.00367195,0.0196927,0.00579933,0.00609508,0.010689,0.00419031,0.00616793,0.00683297,0.0104519,0.00208921,0.00501812,0.00846447,0.00811287,0.00636408,0.00693142,0.00747286,0.00933994,0.000775248,0.00603763,0.00493922,0.00434465,0.00376283,0.00573036,0.00699628,0.00326316,0.00739812,0.000536345,0.00866384,0.00450956,0.00780575,0.00329471,0.0133774,0.000692746,0.00739196,0.00609362,0.0145675,0.000805234,0.00609362,0.0116065,0.00609447,0.00564513,0.00733252,0.0035644,0.00352914,0.00820784,0.00587537,0.0101097,0.00859864,0.0118468,0.00609362,0.00838178,0.00593912,0.00705505,0.0058701,0.00529204,0.00598321,0.00925718,0.00068695,0.010599,0.00551606,0.002495,0.0166545,0.00700284,0.00920985,0.00402862,0.0121635,0.00426532,0.00506625,0.00348645,0.00549225,0.00609362,0.0081599,0.00609709,0.00288932,0.00604695,0.00648176,0.00400964,0.00673268,0.00725407,0.0165211,0.00732565,0.00628706,0.00340007,0.00328371,0.00151562,0.000679043,0.00609581,0.00401017,0.00628579,0.00692326,0.000647544,0.00629496,0.00506593,0.00146823,0.00609362,0.00493205,0.00604414,0.00644738,0.00355064,0.00547488,0.00556024,0.0041937,0.0187406,0.00695079,0.0100413,0.00781697,0.00609362,0.0125503,0.00815511,0.00164164,0.00609362,0.0108343,0.00967651,0.0102787,0.00758917,0.00797437,0.0105424,0.003868,0.00914817,0.00301023,0.00592304,0.00582616,0.0152739,0.011879,0.00394009,0.00609892,0.00565432,0.00719347,0.00678016,0.00743657,0.00338347,0.0145314,0.00856456,0.0105831,0.00716542,0.00511031,0.00398391,0.00425639,0.00699789,0.00426217,0.0106684,0.0105829,0.00555873,0.00559111,0.00797706,0.0125068,0.00477204,0.00573241,0.0170678,0.003586,0.0122225,0.0088319,0.00368109,0.0134405,0.00467159,0.000432823
5,1040,0.0065107,0.00349637,0.000432472,0.0196736,0.000862676,0.0034201,0.000880947,0.00728097,0.00448833,0.00838779,0.00792205,0.003336,0.00338078,0.00502209,0.0153116,0.00330057,0.00225377,0.00521578,0.00372762,0.00688571,0.00833589,0.0073016,0.00346485,0.00550075,0.0022807,0.0124369,0.00762767,0.00336444,0.00323892,0.0107398,0.00544132,0.00461452,0.00535077,0.00576423,0.00357735,0.00932059,0.00403026,0.00323674,0.00598487,0.0048952,0.00604064,0.00761958,0.00827071,0.00220663,0.00549781,0.00834907,0.00603902,0.008834,0.0036014,0.0196736,0.00579016,0.00604014,0.0106598,0.00414982,0.00610541,0.00666882,0.0102121,0.00205474,0.00496526,0.00844401,0.00806146,0.0063004,0.00686816,0.00745643,0.00931811,0.000773693,0.00602379,0.00489884,0.00424921,0.00368728,0.00570055,0.00693672,0.00321875,0.00734215,0.000535239,0.00846303,0.00447156,0.00778856,0.00324726,0.0131094,0.000688596,0.00735771,0.00603839,0.0145244,0.00080188,0.00603839,0.0115688,0.00603931,0.00558866,0.00727593,0.00349466,0.0034648,0.00816718,0.00573932,0.0100894,0.00857787,0.0115896,0.00603839,0.00818591,0.00591966,0.00688586,0.00581883,0.00524831,0.00584031,0.00904289,0.00068431,0.0105754,0.00545488,0.00248226,0.0166181,0.00683271,0.00916791,0.00400649,0.0119131,0.00416923,0.00505696,0.00346679,0.00536438,0.00603839,0.00810847,0.00604229,0.00288285,0.00599284,0.00647407,0.00397558,0.00656961,0.00708142,0.0164959,0.00715486,0.00628185,0.00333764,0.00324279,0.00150695,0.000677144,0.00604092,0.00397676,0.00622275,0.00675511,0.000645139,0.00614874,0.00503637,0.00146077,0.00603839,0.00489176,0.00598986,0.0063848,0.00348663,0.00534194,0.00550141,0.00410587,0.0187021,0.0069166,0.0100237,0.00762832,0.00603839,0.0122901,0.00810236,0.0016358,0.00603839,0.0105928,0.00964024,0.0100411,0.00740647,0.00793364,0.0105308,0.00383652,0.00912086,0.00299861,0.0059048,0.00577052,0.0149637,0.0118576,0.00385683,0.00604426,0.00563219,0.00702009,0.00677164,0.00739773,0.00332934,0.0145068,0.00854288,0.0103464,0.00710615,0.00510066,0.0038973,0.00415987,0.00696696,0.00416569,0.0106539,0.0103437,0.00550146,0.00553268,0.00778647,0.012236,0.00473464,0.00559349,0.0170308,0.00355237,0.0121847,0.00878742,0.00366811,0.0131517,0.00456631,0.000432472
6,1280,0.00644285,0.00347388,0.000432158,0.0196545,0.000853419,0.00339227,0.000876943,0.00723483,0.00438846,0.00833891,0.00773773,0.0033085,0.00331957,0.00489787,0.0152896,0.00324875,0.00224051,0.00518791,0.00370336,0.00688289,0.00830107,0.00724646,0.00343124,0.0054676,0.00227088,0.0121821,0.00758216,0.00330447,0.00319865,0.0107165,0.00531658,0.00458894,0.00530061,0.00573571,0.00350624,0.00928186,0.00396614,0.00318669,0.00593065,0.00478145,0.00598612,0.00744392,0.00808387,0.00217136,0.00543812,0.00830137,0.00598439,0.00878716,0.00353322,0.0196545,0.00578124,0.00598559,0.0106314,0.00411038,0.00604422,0.00651698,0.00999145,0.00201668,0.00491376,0.00842355,0.00801134,0.00623723,0.00680628,0.00744021,0.00929672,0.000772157,0.00601028,0.0048593,0.00415652,0.00361346,0.00567112,0.0068786,0.00317578,0.00728729,0.000534132,0.00827073,0.00443391,0.0077723,0.00320135,0.0128486,0.00068312,0.00732384,0.00598372,0.0144818,0.000798703,0.00598372,0.011531,0.0059847,0.0055323,0.00722068,0.00342782,0.00339966,0.00812675,0.00560512,0.0100739,0.00855741,0.0113391,0.00598372,0.00800152,0.00590032,0.00672587,0.00576858,0.00520495,0.00570319,0.00883542,0.000681685,0.0105514,0.00539517,0.00246969,0.0165816,0.00667047,0.00912704,0.00398446,0.0116693,0.00407346,0.00504773,0.00344752,0.00524258,0.00598372,0.00805832,0.00598789,0.00287642,0.00593996,0.00646658,0.00394204,0.00641955,0.0069132,0.0164703,0.00699105,0.00627661,0.00327449,0.00320275,0.00149845,0.000675286,0.00598642,0.00394412,0.00616203,0.00659165,0.000642766,0.00600951,0.00500724,0.00145322,0.00598372,0.00485194,0.00593675,0.00632356,0.00342411,0.00521649,0.00544425,0.00402088,0.0186638,0.00688261,0.0100065,0.00745285,0.00598372,0.0120368,0.00805084,0.00163003,0.00598372,0.0103537,0.00960443,0.00982506,0.00723679,0.00789334,0.0105188,0.00380513,0.00909385,0.00298698,0.00588694,0.00571534,0.0146817,0.0118364,0.00377688,0.00599,0.00561029,0.00685784,0.00676333,0.00735922,0.00327653,0.0144826,0.0085214,0.010129,0.00704909,0.00509109,0.00381374,0.00407087,0.0069363,0.00407704,0.0106398,0.0101225,0.00544462,0.0054746,0.00760831,0.011981,0.00469743,0.00546116,0.0169942,0.00351971,0.0121471,0.00874414,0.003655,0.0128858,0.0044604,0.000432158
7,1520,0.00637744,0.00345332,0.000431838,0.0196355,0.000846076,0.00336399,0.000873202,0.0071904,0.00428531,0.00829201,0.0075687,0.00328176,0.00326058,0.00479292,0.0152675,0.00319767,0.00222541,0.00516061,0.00367972,0.00688001,0.0082666,0.00719285,0.00339826,0.00543476,0.00226108,0.0119344,0.0075383,0.00324434,0.00315953,0.0106931,0.00518676,0.00456411,0.00525164,0.00570761,0.00343754,0.00924481,0.00390902,0.00313836,0.00587841,0.00466985,0.00593292,0.00727423,0.00789125,0.00213201,0.0053788,0.00825415,0.00593108,0.00874215,0.00346794,0.0196355,0.0057723,0.00593235,0.0106031,0.00407114,0.0059837,0.00635927,0.0097764,0.00198323,0.00486278,0.00840302,0.00796241,0.00617649,0.0067466,0.00742388,0.00927522,0.000770687,0.00599672,0.00482021,0.00406841,0.00354074,0.00564218,0.00682091,0.00313368,0.00723401,0.000533102,0.0080909,0.00439708,0.00775642,0.00315687,0.0125949,0.000677712,0.00729017,0.00593037,0.014439,0.000795541,0.00593037,0.0114936,0.00593141,0.00547643,0.00716687,0.0033621,0.00333557,0.00808684,0.0054856,0.0100534,0.00853692,0.0111092,0.00593037,0.00782382,0.00588113,0.00657561,0.00571957,0.00516212,0.00556927,0.00864485,0.000679182,0.0105277,0.00533604,0.00245705,0.0165453,0.00651898,0.00908742,0.0039629,0.0114452,0.00399193,0.00503857,0.00342895,0.00512654,0.00593037,0.00800866,0.00593481,0.00287004,0.00588846,0.00645913,0.00390904,0.00627262,0.00676082,0.0164452,0.00684102,0.00627144,0.00321807,0.00316397,0.00149012,0.000673423,0.00593324,0.00391187,0.00610283,0.00644157,0.000640482,0.00587514,0.00497822,0.00144595,0.00593037,0.0048126,0.00588406,0.00626392,0.00336673,0.005097,0.00538753,0.0039382,0.0186256,0.00684949,0.00998944,0.00729212,0.00593037,0.0118041,0.00800058,0.0016243,0.00593037,0.0101337,0.00956866,0.00961419,0.00706694,0.00785359,0.0105068,0.00377446,0.00906664,0.00297555,0.00586929,0.00566154,0.0144077,0.0118148,0.00369916,0.00593705,0.00558886,0.00669352,0.00675513,0.00732112,0.0032275,0.014458,0.0085,0.0099169,0.00699251,0.00508162,0.00373505,0.0039814,0.00690563,0.0039878,0.0106253,0.00990671,0.00538931,0.00541879,0.00743319,0.0117469,0.00466113,0.00533793,0.0169575,0.00348712,0.0121096,0.00870132,0.00364211,0.0126273,0.00436402,0.000431838
8,1760,0.00631419,0.00343491,0.000431537,0.0196163,0.000838819,0.00333719,0.000869384,0.00714649,0.00419166,0.0082456,0.00741367,0.00325524,0.00320467,0.00468193,0.0152457,0.00314825,0.00221245,0.00513362,0.00365657,0.00687721,0.00823544,0.00714037,0.00336584,0.00540305,0.00225148,0.0117202,0.00749491,0.00318894,0.00312134,0.0106697,0.00506838,0.00453923,0.00520307,0.00567995,0.00337003,0.00920834,0.00384717,0.00309362,0.00582665,0.00456874,0.00588084,0.00711906,0.00772542,0.00209775,0.00532109,0.0082089,0.00587889,0.00869834,0.00340326,0.0196163,0.0057632,0.00588025,0.0105748,0.0040331,0.00592539,0.00621498,0.00957909,0.00195431,0.00481396,0.00838276,0.00791469,0.00611621,0.00668752,0.00740748,0.00925395,0.000769122,0.0059834,0.0047813,0.00398178,0.00346962,0.0056133,0.00676548,0.00309299,0.0071818,0.000532006,0.00791509,0.00436178,0.00774089,0.00311251,0.012362,0.000673693,0.00725743,0.00587814,0.0143963,0.000792443,0.00587814,0.0114565,0.00587924,0.00542332,0.00711422,0.00330289,0.00327259,0.00804738,0.00535943,0.0100334,0.00851621,0.0108851,0.00587814,0.00764998,0.00586213,0.00641859,0.00567176,0.00512061,0.00544689,0.00845898,0.000676748,0.0105042,0.00527832,0.00244471,0.0165091,0.00637122,0.00904885,0.00394195,0.0112266,0.0039047,0.00502946,0.00341036,0.00501295,0.00587814,0.00796104,0.0058827,0.0028636,0.00583719,0.00645182,0.00387639,0.00612909,0.00661175,0.0164197,0.0066844,0.00626627,0.00316238,0.00312465,0.0014818,0.000671638,0.00588119,0.0038801,0.00604407,0.00629438,0.000638171,0.00574361,0.00494958,0.0014388,0.00587814,0.00477454,0.00583268,0.0062064,0.00330549,0.0049801,0.00533303,0.00385702,0.0185873,0.0068172,0.009972,0.00712482,0.00587814,0.0115776,0.00795152,0.00161868,0.00587814,0.00993228,0.00953323,0.009421,0.00691135,0.00781392,0.010495,0.00374396,0.00903962,0.00296426,0.00585198,0.005609,0.0141411,0.0117935,0.0036268,0.00588507,0.00556753,0.00654283,0.00674711,0.00728349,0.00317766,0.0144337,0.00848251,0.00972244,0.00693724,0.00507222,0.00365312,0.00389367,0.00687526,0.00390019,0.010611,0.00969646,0.00533442,0.00536354,0.00726233,0.0115183,0.0046252,0.00520873,0.0169208,0.00345528,0.0120712,0.00866039,0.00362918,0.01239,0.00426194,0.000431537
9,2000,0.00625318,0.00341785,0.000431227,0.0195971,0.000831656,0.0033111,0.000865651,0.00710419,0.00409998,0.00820041,0.00726204,0.00322942,0.00314948,0.0045812,0.0152239,0.00310445,0.00219775,0.00510693,0.00363407,0.00687599,0.00820166,0.00708841,0.00333361,0.00537178,0.00224183,0.0114983,0.0074525,0.00313427,0.00308263,0.0106467,0.0049524,0.00451471,0.00515636,0.00565231,0.00330954,0.00917291,0.00379197,0.00304451,0.00577604,0.00446973,0.0058291,0.00696707,0.00755255,0.00206391,0.00526488,0.00816469,0.00582704,0.00865566,0.00334531,0.0195971,0.00575427,0.00582847,0.0105461,0.00399589,0.00586774,0.00608326,0.00937451,0.00192188,0.00476543,0.00836266,0.00786748,0.00605731,0.00662986,0.00739117,0.00923231,0.000767621,0.00597008,0.00474329,0.00390372,0.00340563,0.00558499,0.00671052,0.00305231,0.00713013,0.00053095,0.00774365,0.00432607,0.00772569,0.00307144,0.0121487,0.000669661,0.0072246,0.00582643,0.0143542,0.000789338,0.00582643,0.0114196,0.0058274,0.00537023,0.00706281,0.00323852,0.00321617,0.00800804,0.00524444,0.010013,0.00849595,0.0106666,0.00582643,0.007491,0.00584577,0.00628445,0.00562511,0.00507882,0.00532715,0.00827739,0.000674237,0.0104805,0.00522207,0.00243235,0.0164731,0.00622628,0.00901193,0.00392112,0.0110258,0.00381918,0.00502031,0.00339184,0.00490166,0.00582643,0.00791394,0.00583121,0.00285739,0.0057871,0.00644469,0.00384804,0.0059983,0.00646631,0.0163944,0.00654099,0.0062611,0.00310756,0.00308961,0.00147353,0.000669761,0.00582946,0.00384903,0.00598766,0.00615084,0.000635973,0.00562362,0.00492146,0.00143172,0.00582643,0.00473638,0.00578235,0.00614851,0.0032508,0.0048656,0.00527921,0.00378372,0.0185493,0.0067857,0.00995492,0.00698189,0.00582643,0.0113568,0.0079038,0.00161312,0.00582643,0.00973528,0.00949793,0.00923205,0.0067593,0.00777483,0.0104832,0.00371385,0.00901298,0.00295295,0.00583496,0.00555687,0.0138967,0.0117719,0.00355547,0.00583373,0.00554723,0.00639582,0.00673918,0.007246,0.00312844,0.0144094,0.00846141,0.00953231,0.00688405,0.00506266,0.00357931,0.00380762,0.00684517,0.00381431,0.0105966,0.00950339,0.00528101,0.00530963,0.00710584,0.0112958,0.00458938,0.00509914,0.0168844,0.00342463,0.0120338,0.00862038,0.00361655,0.0121586,0.00416922,0.000431227
