iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,20,0.0001,0.00674868,0.0035933,0.75,0.00012,0.00556024,0.00409414
1,20,0.0001,0.00674868,0.0035933,1,0.00012,0.00554246,0.0040781
1,20,0.0001,0.00674868,0.0035933,1.1,0.00012,0.0055354,0.00407155
2,20,9e-05,0.00667198,0.0035618,0.75,0.000108,0.00709589,0.00424334
2,20,9e-05,0.00667198,0.0035618,1,0.000108,0.00707923,0.00423657
2,20,9e-05,0.00667198,0.0035618,1.1,0.000108,0.00707266,0.00423379
3,20,8.1e-05,0.00666465,0.00355734,0.75,9.72e-05,0.00465838,0.00222467
3,20,8.1e-05,0.00666465,0.00355734,1,9.72e-05,0.00464374,0.00221602
3,20,8.1e-05,0.00666465,0.00355734,1.1,9.72e-05,0.00463774,0.0022126
4,20,7.29e-05,0.0065911,0.0035292,0.75,8.748e-05,0.00801665,0.00509141
4,20,7.29e-05,0.0065911,0.0035292,1,8.748e-05,0.00799375,0.00508505
4,20,7.29e-05,0.0065911,0.0035292,1.1,8.748e-05,0.00798535,0.00508316
5,20,6.561e-05,0.00658106,0.00352136,0.75,7.8732e-05,0.00636142,0.00386636
5,20,6.561e-05,0.00658106,0.00352136,1,7.8732e-05,0.00634231,0.00385678
5,20,6.561e-05,0.00658106,0.00352136,1.1,7.8732e-05,0.00633513,0.00385442
6,20,5.9049e-05,0.0065107,0.00349637,0.75,7.08588e-05,0.0060398,0.00441911
6,20,5.9049e-05,0.0065107,0.00349637,1,7.08588e-05,0.00602077,0.00440908
6,20,5.9049e-05,0.0065107,0.00349637,1.1,7.08588e-05,0.00601369,0.00440594
7,20,5.31441e-05,0.00644285,0.00347388,0.75,6.37729e-05,0.00593782,0.00277106
7,20,5.31441e-05,0.00644285,0.00347388,1,6.37729e-05,0.00591956,0.00275959
7,20,5.31441e-05,0.00644285,0.00347388,1.1,6.37729e-05,0.00591318,0.00275484
8,20,4.78297e-05,0.00637744,0.00345332,0.75,5.73956e-05,0.00600721,0.0033475
8,20,4.78297e-05,0.00637744,0.00345332,1,5.73956e-05,0.00599144,0.00333725
8,20,4.78297e-05,0.00637744,0.00345332,1.1,5.73956e-05,0.00598663,0.00333461
9,20,4.30467e-05,0.00631419,0.00343491,0.75,5.16561e-05,0.00536158,0.00432107
9,20,4.30467e-05,0.00631419,0.00343491,1,5.16561e-05,0.00535391,0.00431779
